Date;Allianz SE;BASF AG;Bayer AG;Beiersdorf AG;BMW AG;Commerzbank AG;Daimler AG;Deutsche Bank AG;Deutsche Lufthansa AG;E.ON SE;HeidelbergCement AG,;Henkel KGaA Pfd.;K+S AG;Linde AG;MAN AG;Muenchener Rueckversicherungs-Gesellschaft AG;RWE AG;Siemens AG;ThyssenKrupp AG;Volkswagen AG Pfd.;Germany, Equity Indices, DAX, Total Return, Close, EUR
01.07.1999;223.2;21.15;37.7;20.67;28.46;185.8;71.1;54.02;16.72;18.32;68.46;21.83;3.26;58.21;30.65;171.2;39.6;49.94;21.67;32.7;5101.87
01.08.1999;223.47;21.45;38.72;21.23;30.05;203.19;71.4;58.85;17.84;19.25;70.3;22.83;3.51;51.92;31.85;171.01;40.85;51.42;21.97;32.7;5270.77
01.09.1999;242.56;20;35.24;21.83;26.5;215.77;64.7;57.35;16.75;16.42;59.04;19.67;3.13;46.8;28.16;180.43;38.95;50.1;18.74;29.75;5149.83
01.10.1999;259.5;21.38;36.61;21.33;30.3;217.27;74;62.23;19.5;16.41;55.34;21.5;3.2;47.56;31.45;207.34;38.3;55.14;22.36;33.7;5525.4
01.11.1999;260.62;22.98;39.52;22.33;26.5;193.3;67.6;59.72;21.31;15.48;53.35;20.83;3.14;47.37;30.15;196.88;37.9;64.67;25.94;26;5896.04
01.12.1999;298.94;25.5;44.23;22.22;30.3;218.47;77.2;76.51;22.52;15.4;57.55;21.83;3.33;51.86;37.12;239.49;38.9;81.59;30.07;31.8;6958.14
01.01.2000;302.08;21.93;37.34;21.73;23.6;192.7;66.7;70.26;20.91;13.73;52.94;19.1;3.27;44.5;33.84;258.7;32.75;91.02;25.89;28.7;6835.6
01.02.2000;324.67;23.68;40.7;20.83;26.6;221.77;70.4;79.75;22.59;14.81;43.16;18.13;3.08;40.83;34.43;276.58;34.7;119.84;24.9;23.7;7644.55
01.03.2000;381.41;24.8;44.14;24.5;32.95;236.75;68.4;63.37;23.25;17.05;43.46;20.07;3.28;42.69;38.02;319.57;37.4;97.23;25.59;27;7599.39
01.04.2000;379.62;23.78;42.87;23.83;29.25;249.34;64;67.43;22.38;17.35;47.74;21.1;3.47;40.4;35.53;305.31;35.4;104.85;22.86;24.2;7414.68
01.05.2000;346.9;21.7;38.91;27.67;32.3;235.85;58.1;75.55;25.64;17.56;46.12;20.57;3.76;42.02;37.12;299.6;39.4;102.59;18.19;27.7;7109.67
01.06.2000;340.63;21.23;38.4;29.33;31.6;223.56;54.95;78.84;23.89;16.41;47.67;20.17;3.77;39.82;31.9;316.24;35.2;101.75;16.7;24.55;6898.21
01.07.2000;363.04;22.2;42.54;35.33;37;229.56;57.25;88.6;26.13;19.39;49.44;22.4;3.85;44.89;33.79;339.55;38.9;108.53;18.49;28.25;7190.37
01.08.2000;340.63;21.1;44.84;34.5;36.4;216.37;58.1;89.7;24.33;17.24;45.75;24.1;4.04;45.36;31.35;293.89;41.85;117.25;17.1;29.3;7216.45
01.09.2000;333.01;20.02;39.43;35.5;38.7;201.39;50.53;85.77;22.57;18.64;41.47;22.97;3.93;43.74;29.56;320.52;39.8;94.16;15.14;31.15;6798.12
01.10.2000;359;23.2;48.09;38.67;39;199.29;54.35;88.51;22.72;19.12;41.47;23.57;4.03;49.18;30.95;353.81;47.4;96.9;16.8;33.8;7077.44
01.11.2000;359.9;21.78;47.62;42.67;34.5;174.12;44.6;76.1;23.69;20.84;38.59;23.3;4.06;49.95;30.65;358.47;49.1;84.95;14.66;32.5;6372.33
01.12.2000;357.3;24.09;52.58;37.17;34.9;185.15;44.74;81.68;26.76;20.69;36.15;23.1;4.27;49.37;26.97;362.43;47.8;89.93;16.4;31.7;6433.61
01.01.2001;330.72;23.65;50.15;36.08;37.74;195.69;51.05;95.45;24.28;18.9;42.8;24.08;4.06;52.83;32.74;332.79;43.1;100.33;19.98;31.85;6795.14
01.02.2001;322.8;24.48;49.97;41.67;37.65;171.96;53.36;81.86;22.42;17.83;49.25;24.29;4.27;49.66;32.18;335.31;41.42;80.98;19.76;35.97;6208.24
01.03.2001;293.12;22.63;45.3;40;34.57;188.26;50.01;78.84;20.47;17.16;45.05;22.15;4.56;44.89;27.22;318.91;40.7;74.68;16.39;31.7;5829.95
01.04.2001;290.88;24.24;44.7;38.47;37.4;190.36;56.44;83.95;21.06;18.12;43.63;23.67;4.82;48.56;30.81;305.67;44;80.64;17.42;34.39;6264.51
01.05.2001;295.99;23.75;43.94;37.17;40.1;176.51;53.96;82.77;21.1;18.78;41.1;23.67;4.89;48.23;28.11;307.49;44.2;82.1;17.66;37.4;6123.26
01.06.2001;309.03;23.3;43.62;41.17;39.1;179.15;54.25;77.23;18.14;19.77;37.45;22.67;4.63;47.91;25.18;313.11;46.98;70.25;15.41;36.39;6058.38
01.07.2001;287.73;23.25;44.47;44.93;40.4;156.74;56.72;72.94;18.73;20;39.46;24;4.74;46.8;25.5;311.49;49.07;62.36;15.71;35.49;5861.19
01.08.2001;276.36;22.5;33.27;44.2;35.35;163.75;47.95;69.26;16.73;19.17;36.24;23.6;4.71;44.91;24.58;300.17;46.3;54.32;14.81;31.75;5188.17
01.09.2001;222.3;19.43;29.59;41.67;28.03;108.01;32.69;54.93;10.24;18.16;30.99;21.22;4.38;40.61;18.41;268.69;44.1;40.59;11.23;26.37;4308.15
01.10.2001;234.67;18.8;31.05;41.65;33.04;110.58;38.75;56.38;11.41;18.48;34.01;21.91;4.5;42.46;19.39;279.15;43.9;52.16;11.93;28.4;4559.13
01.11.2001;236.64;21.45;34.28;41.33;36;114.54;46.56;65.7;13.99;17.78;39.11;21.37;5;45.12;21.4;284;41.64;63.96;15.5;32.98;4989.91
01.12.2001;238.44;20.88;33.69;42.5;39.15;104.71;48.35;72.45;14.46;18.57;39.84;21.17;5.19;43.45;23.64;290.04;42.2;72.05;16.29;34.85;5160.1
01.01.2002;234.4;22.5;34.99;46;42.85;114.3;46.95;65.81;16.56;18.97;42.05;21.51;5.47;47.75;26.47;262.51;43.27;66.43;16.25;36.82;5107.61
01.02.2002;233.03;22.21;34.68;42.2;42.6;114.18;46.41;61.96;17.4;18.12;38.74;22;5.53;50.15;27.21;268.21;41.53;65.6;17.24;36;5039.08
01.03.2002;244.71;23.3;36.56;46;45.63;123.89;52.3;67.47;17.03;18.63;39.71;23.58;5.47;54.29;28.47;271.61;43.08;73.65;17.92;40.5;5397.29
01.04.2002;234.36;23.78;34.23;44.83;44.01;120.05;51.48;67.16;16.74;18.45;40.54;24.13;5.52;51.81;26.21;261.57;42;65.42;16.69;35.79;5041.2
01.05.2002;215.85;24.9;32.75;42.12;45.87;115.5;52.54;70.49;14.33;17.81;33.28;25.43;5.33;50.62;24.53;234.19;40.85;63.96;17.25;38.15;4818.3
01.06.2002;183.27;23.58;30.54;41;41.11;91.1;49.14;64.24;14.04;18.75;36.74;23.57;5.1;48.3;21.27;228.27;40.1;58.9;15.21;32.9;4382.56
01.07.2002;130.24;19.5;23.71;35;38.45;68.93;43.86;53.03;11.89;15.94;30.99;20.84;4.47;45.34;19.9;185.66;33.86;48.94;13.13;33.62;3700.14
01.08.2002;117.42;21.02;22.8;32.27;38.54;66.77;44.07;57.66;12.56;16.77;33.06;23.27;4.61;40.59;20.79;176.61;37.45;46.57;13.36;32.9;3712.94
